category,event_id,korean_name,variant,file,source,license
01_Vehicle,engine_start,엔진 시동,1,01_Vehicle/engine_start_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_start,엔진 시동,2,01_Vehicle/engine_start_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_start,엔진 시동,3,01_Vehicle/engine_start_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_idle_loop,엔진 공회전 루프,1,01_Vehicle/engine_idle_loop_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_idle_loop,엔진 공회전 루프,2,01_Vehicle/engine_idle_loop_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_idle_loop,엔진 공회전 루프,3,01_Vehicle/engine_idle_loop_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_drive_loop,주행 엔진 루프,1,01_Vehicle/engine_drive_loop_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_drive_loop,주행 엔진 루프,2,01_Vehicle/engine_drive_loop_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_drive_loop,주행 엔진 루프,3,01_Vehicle/engine_drive_loop_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_accelerate,가속,1,01_Vehicle/engine_accelerate_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_accelerate,가속,2,01_Vehicle/engine_accelerate_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,engine_accelerate,가속,3,01_Vehicle/engine_accelerate_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,brake_skid,브레이크/타이어 스키드,1,01_Vehicle/brake_skid_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,brake_skid,브레이크/타이어 스키드,2,01_Vehicle/brake_skid_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,brake_skid,브레이크/타이어 스키드,3,01_Vehicle/brake_skid_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,truck_horn,트럭 경적,1,01_Vehicle/truck_horn_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,truck_horn,트럭 경적,2,01_Vehicle/truck_horn_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
01_Vehicle,truck_horn,트럭 경적,3,01_Vehicle/truck_horn_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_hit_light,가벼운 주민 충돌,1,02_Resident_Impact/resident_hit_light_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_hit_light,가벼운 주민 충돌,2,02_Resident_Impact/resident_hit_light_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_hit_light,가벼운 주민 충돌,3,02_Resident_Impact/resident_hit_light_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_hit_heavy,강한 주민 충돌,1,02_Resident_Impact/resident_hit_heavy_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_hit_heavy,강한 주민 충돌,2,02_Resident_Impact/resident_hit_heavy_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_hit_heavy,강한 주민 충돌,3,02_Resident_Impact/resident_hit_heavy_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_launch_whoosh,주민이 날아가는 효과,1,02_Resident_Impact/resident_launch_whoosh_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_launch_whoosh,주민이 날아가는 효과,2,02_Resident_Impact/resident_launch_whoosh_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_launch_whoosh,주민이 날아가는 효과,3,02_Resident_Impact/resident_launch_whoosh_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_reaction_cartoon,비언어적 코믹 반응,1,02_Resident_Impact/resident_reaction_cartoon_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_reaction_cartoon,비언어적 코믹 반응,2,02_Resident_Impact/resident_reaction_cartoon_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,resident_reaction_cartoon,비언어적 코믹 반응,3,02_Resident_Impact/resident_reaction_cartoon_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,soul_release,영혼 방출,1,02_Resident_Impact/soul_release_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,soul_release,영혼 방출,2,02_Resident_Impact/soul_release_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,soul_release,영혼 방출,3,02_Resident_Impact/soul_release_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,soul_collect,영혼 획득,1,02_Resident_Impact/soul_collect_v01.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,soul_collect,영혼 획득,2,02_Resident_Impact/soul_collect_v02.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
02_Resident_Impact,soul_collect,영혼 획득,3,02_Resident_Impact/soul_collect_v03.wav,Original procedural synthesis for Isekai_truck,Project-owned original / no external samples
